IPM Region,State,Resource Class,1,2,3,4,5,6
ERC_PHDL,TX,1,999,906,"1,071",987,950,"9,108"
,,2,964,985,"1,028","1,013",897,"15,872"
,,3,987,"1,005",987,989,977,"11,156"
,,4,970,961,"1,011","1,054",622,
,,5,979,928,990,"1,088",912,"5,222"
,,6,979,998,956,"1,052",998,482
,,7,977,960,213,,,
,,8,3,,,,,
ERC_REST,TX,1,147,,,,,
,,2,272,,,,,
,,3,"2,996",261,,,,
,,4,"2,971","2,973","3,052","3,002","1,400",
,,5,"2,944","3,005","3,022","2,998","3,007","38,801"
,,6,"2,999","2,985","2,974","3,032","2,987","202,352"
,,7,"2,998","2,916","3,077","2,843","3,107","184,625"
,,8,"2,973","3,026","2,996","2,996","2,994","25,429"
ERC_WEST,TX,1,996,"1,003",584,,,
,,2,959,903,"1,115",982,"1,019","7,709"
,,3,993,951,978,978,"1,033","35,113"
,,4,996,998,909,982,"1,092","83,295"
,,5,985,812,"1,144","1,056",901,"124,544"
,,6,997,992,923,"1,086",991,"127,183"
,,7,940,985,997,910,973,"73,809"
,,8,993,999,969,"1,017","1,008","21,195"
FRCC,FL,7,3,,,,,
,,8,"2,944","2,968","3,086",713,,
MIS_AMSO,LA,6,0,,,,,
,,7,30,,,,,
,,8,405,,,,,
MIS_AR,AR,4,0,,,,,
,,5,17,,,,,
,,6,349,,,,,
,,7,990,972,"1,018",950,"1,055","18,625"
,,8,989,968,"1,029",956,"1,051","36,397"
MIS_D_MS,MS,7,351,,,,,
,,8,987,"1,011",996,985,"1,020","17,868"
MIS_IA,IA,1,5,,,,,
,,2,998,989,31,,,
,,3,949,"1,036",953,960,"1,066","2,303"
,,4,958,934,"1,035","1,016","1,020","13,168"
,,5,982,973,"1,010",982,"1,008","38,663"
,,6,985,993,919,"1,103",952,"47,175"
,,7,979,948,"1,065",975,932,"13,287"
,,8,501,,,,,
,MN,1,333,,,,,
,,2,997,501,,,,
,,3,993,975,399,,,
,,4,901,528,,,,
,,5,962,988,442,,,
MIS_IL,IL,5,"1,498","1,396","1,507",,,
,,6,"1,411","1,517","1,552","1,433","1,554","31,259"
,,7,"1,490","1,482","1,514","1,488","1,383","52,977"
,,8,"1,492","1,496","1,500","1,507","1,474","26,349"
MIS_INKY,IN,5,"2,451","2,459",,,,
,,6,"2,484","2,492","2,429","2,582","2,502","14,757"
,,7,"2,444","2,426","2,630","2,416","2,509","22,456"
,,8,"2,490","2,481","2,504","2,515","2,474","6,864"
,KY,7,"1,428",,,,,
,,8,"2,495","2,400","2,564","2,503","2,460","4,998"
MIS_LA,LA,7,"1,496","1,488",578,,,
,,8,"1,498","1,498","1,496","1,467","1,499","14,607"
MIS_LMI,MI,1,1,,,,,
,,3,11,,,,,
,,4,21,,,,,
,,5,211,,,,,
,,6,"2,497","2,473","2,516",364,,
,,7,"2,472","2,494","2,526","2,464","2,483","22,437"
,,8,"2,496","2,491","2,495","2,509","2,505","7,546"
MIS_MAPP,MT,1,482,516,501,500,433,
,,2,469,515,456,491,496,"1,322"
,,3,482,506,509,485,509,"8,749"
,,4,358,629,460,524,526,"37,948"
,,5,475,428,589,439,497,"96,499"
,,6,487,422,582,462,509,"62,394"
,,7,479,509,469,543,489,"12,393"
,,8,483,504,487,491,531,
,ND,1,497,503,498,481,517,"1,583"
,,2,484,456,553,496,494,"5,087"
,,3,465,473,556,500,479,"34,630"
,,4,373,513,614,475,496,"64,212"
,,5,499,488,495,488,509,"121,612"
,,6,483,517,437,434,623,"11,247"
,,7,457,305,,,,
,SD,1,479,195,,,,
,,2,479,282,,,,
,,3,479,477,,,,
,,4,375,503,512,602,,
,,5,468,323,,,,
MIS_MIDA,IA,1,171,,,,,
,,2,999,989,941,"1,036","1,005","6,363"
,,3,956,"1,014",971,"1,007",980,"16,903"
,,4,990,"1,007",932,"1,051","1,018","19,827"
,,5,950,"1,038",968,"1,018","1,024","41,504"
,,6,973,"1,016",958,"1,045",948,"21,627"
,,7,975,989,"1,028",781,,
MIS_MNWI,MI,6,43,,,,,
,,7,621,,,,,
,,8,89,,,,,
,MN,1,"2,010",,,,,
,,2,"2,420","2,466","2,608","1,115",,
,,3,"2,423","2,518","2,466",430,,
,,4,"2,464","2,504","2,516","2,501",111,
,,5,"2,489","2,505","2,494","2,388","2,480","38,589"
,,6,"2,490","2,457","2,542","2,444","2,565","42,954"
,,7,"2,483","2,460","2,521","2,506","2,480","17,401"
,,8,"2,492","2,504","1,323",,,
,SD,1,447,,,,,
,,2,"1,288",,,,,
,,3,"2,473",,,,,
,,4,"1,027",,,,,
,,5,266,,,,,
,WI,6,"2,481",564,,,,
,,7,"2,483","2,509","2,485","2,519","2,433","11,608"
,,8,"2,491","2,502","2,490","2,504","2,501","4,007"
MIS_MO,IA,6,761,,,,,
,,7,942,944,,,,
,,8,51,,,,,
,MO,5,308,,,,,
,,6,968,"1,027",961,"1,028",964,"13,174"
,,7,999,999,980,"1,010",962,"40,920"
,,8,978,952,"1,023","1,031","1,008","22,678"
MIS_WOTA,LA,7,993,654,,,,
,,8,993,969,"1,028",493,,
,TX,6,373,,,,,
,,7,984,629,,,,
,,8,980,"1,020",987,"1,008",999,"1,226"
MIS_WUMS,MI,3,2,,,,,
,,4,153,,,,,
,,5,59,,,,,
,,6,601,,,,,
,,7,"1,498","1,478",927,,,
,,8,"1,488","1,508","1,498","1,482","1,519",356
,WI,4,7,,,,,
,,5,200,,,,,
,,6,"1,493","1,481","1,389","1,606","1,521","6,159"
,,7,"1,479","1,475","1,394","1,628","1,515","30,445"
,,8,"1,460","1,484","1,554","1,487","1,500","9,051"
NENG_CT,CT,6,3,,,,,
,,7,184,,,,,
,,8,923,,,,,
NENG_ME,ME,1,105,,,,,
,,2,38,,,,,
,,3,76,,,,,
,,4,139,,,,,
,,5,499,86,,,,
,,6,499,499,500,501,485,363
,,7,498,496,484,514,504,"15,347"
