IPM Region,State,Resource Class,1,2,3,4,5,6
,,8,429,565,474,532,491,"32,011"
NENGREST,MA,1,2,,,,,
,,3,3,,,,,
,,4,6,,,,,
,,5,28,,,,,
,,6,165,,,,,
,,7,"1,137",,,,,
,,8,"1,880",,,,,
,NH,1,14,,,,,
,,2,8,,,,,
,,3,14,,,,,
,,4,35,,,,,
,,5,159,,,,,
,,6,596,,,,,
,,7,"2,215",,,,,
,,8,"2,490","1,771",,,,
,RI,6,0,,,,,
,,7,53,,,,,
,,8,135,,,,,
,VT,1,28,,,,,
,,2,19,,,,,
,,3,28,,,,,
,,4,50,,,,,
,,5,230,,,,,
,,6,796,,,,,
,,7,"2,475",963,,,,
,,8,"2,472","2,525","2,502",24,,
NY_Z_A,NY,5,338,,,,,
,,6,483,513,500,33,,
,,7,498,471,528,490,506,"2,556"
,,8,493,497,466,478,547,940
NY_Z_B,NY,5,61,,,,,
,,6,495,486,254,,,
,,7,499,482,510,500,497,963
,,8,471,521,483,506,124,
NY_Z_C&E,NY,1,22,,,,,
,,2,15,,,,,
,,3,14,,,,,
,,4,36,,,,,
,,5,254,,,,,
,,6,495,500,494,511,267,
,,7,495,493,507,500,500,"10,214"
,,8,493,501,480,508,505,"14,789"
NY_Z_D,NY,1,15,,,,,
,,3,10,,,,,
,,4,25,,,,,
,,5,128,,,,,
,,6,500,122,,,,
,,7,485,511,500,480,523,420
,,8,481,514,499,500,494,"3,234"
NY_Z_F,NY,1,45,,,,,
,,2,16,,,,,
,,3,30,,,,,
,,4,47,,,,,
,,5,155,,,,,
,,6,499,261,,,,
,,7,498,502,490,497,510,560
,,8,492,500,503,489,510,"3,526"
NY_Z_G-I,NY,1,6,,,,,
,,3,0,,,,,
,,4,14,,,,,
,,5,15,,,,,
,,6,160,,,,,
,,7,500,494,79,,,
,,8,495,504,499,135,,
NY_Z_K,NY,4,1,,,,,
,,5,3,,,,,
,,6,19,,,,,
,,7,0,,,,,
PJM_AP,MD,5,8,,,,,
,,6,141,,,,,
,,7,700,,,,,
,,8,555,,,,,
,PA,4,0,,,,,
,,5,8,,,,,
,,6,152,,,,,
,,7,"1,479","1,013",,,,
,,8,"1,489","1,506","1,500","1,468",959,
,VA,1,1,,,,,
,,2,2,,,,,
,,3,2,,,,,
,,4,5,,,,,
,,5,27,,,,,
,,6,77,,,,,
,,7,140,,,,,
,,8,308,,,,,
,WV,1,3,,,,,
,,2,0,,,,,
,,3,7,,,,,
,,4,21,,,,,
,,5,174,,,,,
,,6,643,,,,,
,,7,"1,494",693,,,,
,,8,"1,494","1,500","1,505",616,,
PJM_ATSI,OH,5,155,,,,,
,,6,"1,485",,,,,
,,7,"1,457","1,494","1,544","1,476","1,502","19,583"
,,8,"1,500","1,493","1,474","1,522","1,424","1,876"
,PA,7,10,,,,,
,,8,"1,486","1,450",,,,
PJM_COMD,IL,5,"2,440","2,550","1,117",,,
,,6,"2,487","2,501","2,499","2,452","2,560","24,351"
,,7,"2,486","2,476","2,491",742,,
,,8,474,,,,,
PJM_Dom,NC,7,11,,,,,
,,8,"1,125",,,,,
,VA,4,1,,,,,
,,5,13,,,,,
,,6,37,,,,,
,,7,151,,,,,
,,8,731,,,,,
PJM_EMAC,DE,7,6,,,,,
,,8,522,,,,,
,MD,6,0,,,,,
,,7,40,,,,,
,,8,"1,893",,,,,
,NJ,7,29,,,,,
,,8,413,,,,,
,PA,7,10,,,,,
,,8,"1,667",,,,,
,VA,6,2,,,,,
,,7,155,,,,,
,,8,31,,,,,
PJM_PENE,PA,3,1,,,,,
,,4,59,,,,,
,,5,189,,,,,
,,6,491,461,,,,
,,7,499,499,491,504,505,"2,914"
,,8,499,499,487,469,542,"13,775"
PJM_SMAC,MD,7,0,,,,,
,,8,572,,,,,
PJM_West,IN,6,"2,929","3,054","1,010",,,
,,7,"2,979","3,011","2,948","2,993",958,
,,8,967,,,,,
,KY,6,7,,,,,
,,7,370,,,,,
,,8,"2,982","2,948","3,017","1,442",,
,MI,5,1,,,,,
,,6,183,,,,,
,,7,"1,701",,,,,
,,8,4,,,,,
,OH,6,"1,436",,,,,
,,7,"2,993","2,937","3,036","3,009","3,007","11,727"
,,8,"2,987","2,972","3,018","2,970","2,949","6,810"
,TN,5,0,,,,,
,,6,5,,,,,
,,7,24,,,,,
,,8,26,,,,,
,VA,3,0,,,,,
,,4,4,,,,,
,,5,32,,,,,
,,6,134,,,,,
,,7,865,,,,,
,,8,"2,675",,,,,
,WV,1,0,,,,,
,,2,2,,,,,
,,4,5,,,,,
,,5,6,,,,,
,,6,8,,,,,
,,7,245,,,,,
,,8,"2,196",,,,,
PJM_WMAC,PA,4,2,,,,,
,,5,11,,,,,
,,6,183,,,,,
,,7,"1,498","1,105",,,,
,,8,"1,496","1,480","1,495",663,,
S_C_KY,KY,7,965,444,,,,
,,8,997,987,"1,008",948,999,"19,467"
S_C_TVA,AL,6,8,,,,,
,,7,754,,,,,
,,8,"2,997","2,926","3,053",812,,
,GA,5,1,,,,,
,,6,7,,,,,
,,7,256,,,,,
,,8,835,,,,,
,IL,8,11,,,,,
,KY,7,73,,,,,
,,8,"2,890","3,053","3,000","3,026","2,953","8,212"
,MS,7,303,,,,,
,,8,"2,982","2,931","3,073",81,,
,NC,1,1,,,,,
,,2,0,,,,,
,,3,2,,,,,
,,4,1,,,,,
,,5,5,,,,,
,,6,18,,,,,
,,7,113,,,,,
,,8,229,,,,,
,TN,2,1,,,,,
,,4,1,,,,,
,,5,5,,,,,
,,6,51,,,,,
,,7,"2,444",,,,,
,,8,"2,952","3,008","2,990","3,050","2,980","33,409"
,VA,6,4,,,,,
,,7,9,,,,,
,,8,55,,,,,
S_D_AECI,MO,3,41,,,,,
,,4,308,,,,,
,,5,950,"1,020","1,012",997,546,
,,6,931,"1,027","1,009",987,927,"20,465"
,,7,984,999,942,"1,071",963,"31,273"
,,8,903,"1,096",995,987,"1,007","11,723"
S_SOU,AL,5,0,,,,,
,,6,13,,,,,
,,7,392,,,,,
,,8,"2,984","3,006","2,101",,,
,FL,7,1,,,,,
,,8,305,,,,,
,GA,5,1,,,,,
,,6,8,,,,,
,,7,131,,,,,
,,8,"2,996",881,,,,
,MS,7,0,,,,,
,,8,25,,,,,
S_VACA,GA,8,13,,,,,
,NC,1,0,,,,,
,,3,0,,,,,
,,4,0,,,,,
,,5,6,,,,,
,,6,68,,,,,
,,7,690,,,,,
,,8,"1,769",,,,,
,SC,6,1,,,,,
,,7,49,,,,,
,,8,"2,987",162,,,,
SPP_N,KS,1,"2,347","2,625","2,435","2,589","2,492","2,874"
,,2,"2,496","2,501","2,445","2,544","2,508","43,058"
,,3,"2,281","2,716","2,447","2,496","2,528","69,275"
,,4,"2,372","2,610","2,509","2,498","2,481","113,251"
,,5,"2,456","2,514","2,520","2,462","2,523","148,922"
,,6,"2,473","2,494","2,510","2,484","2,500","43,669"
,,7,"2,497","2,275",,,,
,MO,5,907,,,,,
,,6,"2,451","2,532","2,467","2,548","2,461","14,456"
,,7,"2,478","2,462","2,547","2,481","2,497","31,153"
,,8,"2,485","2,499","2,506","2,489",405,
SPP_NEBR,KS,2,943,134,,,,
,,4,977,457,,,,
,,5,985,928,597,,,
,,6,482,,,,,
,NE,1,985,972,"1,033",990,"1,006","5,459"
,,2,950,990,"1,033","1,006",989,"21,986"
,,3,996,950,"1,033",982,"1,018","55,984"
,,4,939,939,"1,085",932,"1,102","132,217"
,,5,950,997,"1,048","1,000",974,"177,812"
,,6,980,"1,020",997,957,"1,018","33,001"
,,7,971,"1,028",999,161,,
SPP_SPS,NM,1,"1,709",,,,,
,,2,912,,,,,
,,3,"2,934",921,,,,
,,4,"2,996","1,573",,,,
,,5,"2,988","2,923","3,046","2,993","2,976","24,252"
,,6,"2,979","2,939","2,985","2,993","3,080","30,286"
,,7,"2,921","3,028","3,012","3,038","2,981","25,407"
,,8,315,,,,,
,OK,1,"2,069",,,,,
,,2,"2,972","1,237",,,,
,,3,"2,961","3,036",218,,,
,,4,"2,927","3,053","2,961","3,011","2,428",
,,5,"2,990","2,990","2,984","3,000",675,
,,6,646,,,,,
,TX,1,"2,936","2,985","3,066","2,876","3,130",116
,,2,"2,846","3,098","3,026","2,959","3,026","2,989"
,,3,"2,960","3,029","3,006","2,958","2,966","4,364"
,,4,"2,989","2,999","3,012","2,907","3,075","5,824"
,,5,"2,937","2,850","3,115","2,962","2,874","46,293"
,,6,"2,996","2,980","2,965","3,031","2,938","20,337"
,,7,"2,720",,,,,
,,8,266,,,,,
SPP_WAUE,MN,5,960,"1,007",819,,,
,,6,201,,,,,
,MT,1,59,,,,,
,,2,5,,,,,
,,3,600,,,,,
,,4,992,999,956,841,,
,,5,945,918,"1,029","1,028","1,043","11,575"
,,6,990,997,998,"1,012",993,"5,311"
,,7,564,,,,,
,ND,1,268,,,,,
,,2,155,,,,,
,,3,991,989,976,"1,041",972,"2,227"
,,4,980,"1,014",997,976,"1,016","6,826"
,,5,915,"1,082",959,974,"1,059","13,320"
,,6,985,999,"1,011",941,142,
,,7,242,,,,,
,SD,1,995,970,"1,018","1,000",981,"1,777"
,,2,972,"1,028",971,982,"1,012","5,070"
,,3,"1,000",976,986,974,"1,030","36,628"
,,4,957,"1,000",900,"1,075","1,067","106,336"
,,5,883,"1,066",950,995,"1,047","158,343"
,,6,985,982,985,926,"1,090","21,401"
,,7,982,577,,,,
,,8,9,,,,,
SPP_WEST,AR,1,3,,,,,
,,2,3,,,,,
,,3,6,,,,,
,,4,11,,,,,
,,5,284,,,,,
,,6,"2,420",,,,,
,,7,"2,999","2,983","2,867","3,058","2,371",
,,8,"2,991","2,970","2,980","3,027","3,012","10,601"
,LA,7,155,,,,,
,,8,"1,152",,,,,
,MO,7,"1,311",,,,,
,,8,"2,994",206,,,,
,OK,1,565,,,,,
,,2,"2,976",34,,,,
,,3,"2,895","3,041",,,,
,,4,"2,993","2,973","3,030","2,992","2,988","6,025"
,,5,"2,940","3,049","2,881","3,129","2,955","77,458"
,,6,"2,988","3,011","2,973","3,024","2,824","70,030"
,,7,"2,950","3,004","3,034","2,992","2,996","59,990"
,,8,"2,990","3,005","2,973","3,013","3,018","9,885"
,TX,7,665,,,,,
,,8,"2,977","2,994",162,,,
WEC_BANC,CA,6,17,,,,,
,,7,452,,,,,
,,8,487,308,,,,
WEC_CALN,CA,1,14,,,,,
,,2,4,,,,,
,,3,17,,,,,
,,4,256,,,,,
,,5,377,,,,,
,,6,"1,714",,,,,
,,7,"2,489","2,506","1,210",,,
,,8,"2,500","2,488","2,512","2,497","2,445","15,303"
WEC_LADW,CA,1,8,,,,,
,,2,18,,,,,
,,3,3,,,,,
,,4,61,,,,,
,,5,727,,,,,
,,6,505,,,,,
,,7,649,,,,,
,,8,927,785,,,,
WEC_SDGE,CA,1,13,,,,,
,,2,2,,,,,
,,3,21,,,,,
,,4,55,,,,,
,,5,328,,,,,
,,6,539,,,,,
,,7,729,,,,,
,,8,739,,,,,
WECC_AZ,AZ,3,0,,,,,
,,4,3,,,,,
,,5,48,,,,,
,,6,"2,458",,,,,
,,7,"2,496","2,461","2,500","2,536","2,476","21,502"
,,8,"2,399","2,539","2,521","2,509","2,457","102,038"
WECC_CO,CO,1,227,,,,,
,,2,636,,,,,
,,3,951,,,,,
,,4,"1,446","1,385","1,538","1,552","1,575","13,418"
,,5,"1,448","1,464","1,560","1,399","1,516","63,261"
,,6,"1,496","1,486","1,505","1,474","1,468","75,902"
,,7,"1,497","1,488","1,503","1,479","1,440","67,178"
,,8,"1,445","1,554","1,430","1,568","1,398","52,584"
WECC_ID,ID,1,19,,,,,
,,2,13,,,,,
,,3,26,,,,,
,,4,53,,,,,
,,5,418,,,,,
,,6,999,999,989,520,,
,,7,"1,000",998,958,"1,009",907,"34,960"
,,8,893,"1,074",920,"1,094",969,"66,908"
WECC_IID,CA,3,0,,,,,
,,5,36,,,,,
,,6,344,,,,,
,,7,483,499,479,491,230,
,,8,499,464,525,482,510,
WECC_MT,MT,1,499,500,497,502,13,
,,2,484,96,,,,
,,3,499,499,501,496,343,
,,4,493,505,473,526,499,"3,944"
,,5,495,503,492,501,490,"39,450"
,,6,469,514,471,511,499,"155,997"
,,7,497,470,459,566,504,"94,319"
,,8,496,500,499,494,498,"35,135"
WECC_NM,NM,1,627,,,,,
,,2,979,981,963,858,,
,,3,984,"1,009",548,,,
,,4,966,943,957,"1,086","1,021","13,467"
,,5,919,"1,035","1,009",915,"1,092","44,794"
,,6,995,995,"1,002",983,997,"61,343"
,,7,999,974,983,864,"1,179","106,410"
,,8,946,"1,011","1,008",949,"1,061","135,878"
,TX,1,48,,,,,
,,2,25,,,,,
,,3,63,,,,,
,,4,22,,,,,
,,5,959,313,,,,
,,6,881,"1,086","1,033",982,977,"3,457"
,,7,999,967,995,"1,010",984,"15,272"
,,8,970,938,"1,035","1,042",963,883
WECC_NNV,NV,1,4,,,,,
,,2,3,,,,,
,,3,9,,,,,
,,4,32,,,,,
,,5,278,,,,,
,,6,499,497,501,503,498,65
,,7,495,483,514,505,503,"18,567"
,,8,464,505,515,470,507,"84,830"
WECC_PNW,CA,2,0,,,,,
,,3,1,,,,,
,,4,6,,,,,
,,5,15,,,,,
,,6,94,,,,,
,,7,484,,,,,
,,8,"1,974",,,,,
,ID,1,31,,,,,
,,2,8,,,,,
,,3,27,,,,,
,,4,40,,,,,
,,5,133,,,,,
,,6,265,,,,,
,,7,"1,206",,,,,
,,8,"2,912","1,535",,,,
,OR,1,119,,,,,
,,2,43,,,,,
,,3,107,,,,,
,,4,209,,,,,
,,5,"1,129",,,,,
,,6,"2,988","3,010","1,248",,,
,,7,"2,997","2,999","2,992","2,947","3,017","19,530"
,,8,"2,994","3,005","2,992","3,002","3,005","72,073"
,WA,1,63,,,,,
,,2,54,,,,,
,,3,56,,,,,
,,4,149,,,,,
,,5,686,,,,,
,,6,"2,986","2,690",,,,
,,7,"2,987","2,980","3,033","2,972","3,022","9,478"
,,8,"2,890","2,933","3,144","2,949","3,079","48,324"
WECC_SCE,CA,1,209,,,,,
,,2,46,,,,,
,,3,137,,,,,
,,4,268,,,,,
,,5,897,,,,,
,,6,"2,482","1,117",,,,
,,7,"2,485","2,510","2,499","2,499","1,262",
,,8,"2,499","2,483","2,514","2,490","2,509","1,780"
WECC_SNV,NV,5,2,,,,,
,,6,62,,,,,
,,7,668,,,,,
,,8,984,"1,014",686,,,
WECC_UT,UT,1,1,,,,,
,,2,4,,,,,
,,3,2,,,,,
,,4,11,,,,,
,,5,85,,,,,
,,6,993,990,,,,
,,7,999,973,994,953,"1,058","23,403"
,,8,992,981,994,983,"1,048","71,641"
WECC_WY,NE,1,24,,,,,
,,2,0,,,,,
,,3,426,507,552,413,,
,,4,430,534,519,480,531,"1,136"
,,5,431,,,,,
,SD,1,78,,,,,
,,2,16,,,,,
,,3,345,,,,,
,,4,461,525,505,129,,
,,5,499,475,443,577,493,"8,392"
,,6,492,486,481,519,439,"16,557"
,,7,481,499,418,486,614,"7,944"
,,8,498,432,559,479,500,"1,079"
,WY,1,424,541,494,531,412,"14,283"
,,2,444,555,495,498,499,"2,069"
,,3,469,489,537,497,455,"10,860"
,,4,499,458,494,533,495,"20,957"
,,5,441,522,536,489,471,"79,275"
,,6,499,422,512,559,444,"136,217"
,,7,471,501,419,574,469,"77,392"
,,8,471,485,509,522,511,"51,647"
CN_AB,AB,1,"4,682",,,,,
,,2,"12,446",,,,,
,,3,"19,622",,,,,
,,4,"64,080",,,,,
,,5,"212,780",,,,,
,,6,"127,254",,,,,
,,7,"37,722",,,,,
,,8,"5,738",,,,,
,,9,772,,,,,
CN_BC,BC,1,"1,517",,,,,
,,2,"1,639",,,,,
,,3,"3,500",,,,,
,,4,"13,094",,,,,
,,5,"51,810",,,,,
,,6,"80,280",,,,,
,,7,"96,336",,,,,
,,8,"75,260",,,,,
,,9,"47,376",,,,,
,,10,"20,929",,,,,
CN_MB,MB,1,207,,,,,
,,2,"1,130",,,,,
,,3,"3,819",,,,,
,,4,"14,893",,,,,
,,5,"39,489",,,,,
,,6,"8,782",,,,,
,,7,817,,,,,
,,8,204,,,,,
,,9,12,,,,,
CN_ON,ON,1,33,,,,,
,,2,240,,,,,
,,3,565,,,,,
,,4,"4,274",,,,,
,,5,"39,829",,,,,
,,6,"44,789",,,,,
,,7,"27,069",,,,,
,,8,"6,908",,,,,
,,9,392,,,,,
CN_PQ,PQ,1,"13,326",,,,,
,,2,"10,805",,,,,
,,3,"13,449",,,,,
,,4,"24,188",,,,,
,,5,"42,780",,,,,
,,6,"21,786",,,,,
,,7,"13,673",,,,,
,,8,"3,010",,,,,
,,9,387,,,,,
,,10,41,,,,,
CN_SK,SK,1,276,,,,,
,,2,"1,353",,,,,
,,3,"2,748",,,,,
,,4,"13,855",,,,,
,,5,"47,106",,,,,
,,6,"11,774",,,,,
,,7,891,,,,,
,,8,32,,,,,
,,9,34,,,,,
