IPM Region,State,Resource Class,1,2,3,4,5,6
,MI,3,"2,962","2,934","2,902","3,043","3,129","81,539"
,,4,"2,950","2,913","2,959","2,814",,
,OH,3,"2,170","3,255","3,415","2,877","3,172","270,922"
,,4,"2,037","2,037","4,074","2,037","4,769","746,880"
,TN,4,"1,034",,,,,
,VA,4,"2,771","2,771","2,840","2,840","3,702","241,034"
,,5,"1,291",,,,,
,WV,3,"2,814","3,165","2,915","3,078",,
,,4,"2,983","2,820","2,969","2,142","3,426","127,320"
PJM_WMAC,PA,3,"1,144","1,144","1,144","2,288","1,144","404,569"
,,4,"1,206","1,206","2,001",795,"1,591","189,096"
S_C_KY,KY,4,956,956,956,661,"1,322","646,667"
S_C_TVA,AL,4,"2,797","3,199","2,967","3,000","2,964","53,844"
,,5,"2,913","2,971","2,700","3,364","2,918","341,367"
,GA,4,"2,980","2,795","3,171","2,925","2,945","15,159"
,,5,"2,975","2,976","3,000","3,045","2,929","43,115"
,IL,4,"2,858","3,136","2,998",340,,
,KY,4,"2,821","3,034","3,042","2,855","3,099","455,459"
,,5,"2,878","2,954","3,134","3,009","2,989","27,863"
,MS,5,"2,926","2,959","3,067","3,025","2,489","458,602"
,NC,4,"2,868","3,035","2,754",,,
,,5,"2,748","3,110","3,107","2,689",,
,TN,4,"2,764","2,764","2,764","2,551","3,826","1,711,892"
,,5,"2,899","2,919","2,940","3,167","2,895","777,425"
,VA,4,"2,955","3,000","2,769","3,266","2,998","8,265"
S_D_AECI,MO,4,913,745,"1,117",857,969,"673,292"
,,5,941,998,842,"1,141",897,"318,297"
S_SOU,AL,5,"2,845","2,108","3,607","3,238","2,023","1,564,977"
,,6,"3,000","2,721","3,047","3,193","2,728","69,161"
,FL,5,"2,551","2,614","3,583","3,149","2,817","200,821"
,,6,"2,629","3,368","2,642","2,970","2,839","95,118"
,GA,4,"2,858","3,006","3,013",913,,
,,5,"1,943","3,887","1,943","3,887","2,441","2,110,610"
,,6,"2,918","2,962","2,916","3,203","2,792","331,622"
,MS,5,"2,594","3,355","2,955","3,086","2,835","94,638"
,,6,"2,847","3,077","3,029",,,
S_VACA,GA,5,"2,931","3,056","2,859","3,117","2,998","6,625"
,NC,4,"2,809","2,809","2,831","3,408","2,220","416,812"
,,5,"1,917","3,834","1,917","3,834","3,433","2,074,063"
,SC,5,"2,314","3,134","3,134","3,134","2,968","1,309,608"
SPP_N,KS,4,"2,334","2,488","2,453","2,291","2,401","554,442"
,,5,"2,418","1,743","3,182","2,049","2,659","2,985,577"
,,6,"2,300","2,413","2,748","2,333","2,462","930,313"
,MO,4,"2,426","2,162","1,962","2,943","2,710","799,066"
,,5,"2,305","2,531","2,535","2,488","2,581","555,864"
SPP_NEBR,KS,4,941,"1,003",974,999,999,"11,365"
,,5,938,"1,048",975,"1,039",854,"15,014"
,NE,4,960,"1,023",803,"1,143","1,020","1,468,629"
,,5,994,995,641,"1,076","1,076","1,416,092"
SPP_SPS,NM,6,"2,903","2,971","2,487",,,
,,7,"2,921","2,965","2,713","3,368","3,010","820,964"
,OK,6,"2,993","2,959","2,988","2,779","3,244","331,690"
,TX,6,"2,581","3,387","2,882","3,144","2,931","734,413"
,,7,"2,870","2,953","3,075","3,082","2,916","454,157"
SPP_WAUE,MN,3,902,"1,064",974,968,"1,043","44,675"
,MT,3,993,905,884,"1,190",896,"233,827"
,,4,795,,,,,
,ND,3,982,963,901,"1,078","1,069","389,735"
,,4,907,"1,071",919,944,"1,122","30,976"
,SD,3,954,660,938,"1,407",909,"312,113"
,,4,893,"1,106",858,"1,117",818,"2,127,956"
,,5,921,947,"1,044","1,012","1,059","3,812"
SPP_WEST,AR,4,"2,855","3,034","3,070","2,942","3,029","14,986"
,,5,"2,561","3,078","3,174","3,020","2,936","673,442"
,LA,5,"2,833","3,028","2,711","3,304","3,060","71,594"
,MO,4,"2,963","2,959","3,025","2,951","3,080","40,381"
,,5,"2,864","3,063","3,036","2,977","2,936","56,310"
,OK,4,"2,987","2,929","2,225",,,
,,5,"2,990","2,923","2,594","3,326","2,770","2,164,996"
,,6,"2,916","3,024","3,043","3,013","2,658","958,941"
,TX,5,"2,734","3,094","3,013","3,096","2,931","153,099"
,,6,"1,888",,,,,
WEC_BANC,CA,5,375,452,452,582,534,"9,328"
,,6,,517,517,517,517,"101,312"
WEC_CALN,CA,3,"2,268","2,611","2,611","2,484","2,460","8,864"
,,4,"2,182","2,711","2,568","2,431","2,598","32,480"
,,5,"2,113","2,113","2,113","2,113","2,113","397,145"
,,6,,"4,457",,"4,457",,"1,263,659"
,,7,"2,494","2,505","2,358","2,314","2,549","219,546"
WEC_LADW,CA,5,971,864,"1,112",297,,
,,6,789,"1,183",806,823,"1,235","66,530"
,,7,757,"1,136",818,879,"1,319","62,032"
,,8,881,176,,,,
WEC_SDGE,CA,6,609,"1,217",609,"1,217","1,330","59,037"
,,7,992,992,903,689,"1,379","52,923"
,,8,504,,,,,
WECC_AZ,AZ,6,"1,995","2,852","2,356","2,666","2,612","710,380"
,,7,"1,549","3,098","1,549","3,098","2,479","3,219,645"
,,8,"2,148","2,603","2,427","2,665","2,513","454,703"
WECC_CO,CO,4,"1,305","1,451","1,426","1,588","1,112","150,964"
,,5,"1,004","1,004","2,008","1,004","2,276","1,323,287"
,,6,"1,496","1,496","1,496",918,"1,836","1,690,476"
,,7,"1,478","1,468","1,548","1,468",852,
WECC_ID,ID,3,953,979,"1,011","1,004",978,"81,377"
,,4,788,"1,182",799,"1,215",810,"750,060"
,,5,988,988,"1,018",873,873,"835,793"
WECC_IID,CA,7,469,406,505,506,508,"7,540"
,,8,391,327,655,327,679,"47,018"
WECC_MT,MT,3,,751,,751,751,"2,700,379"
,,4,250,501,501,510,520,"920,041"
WECC_NM,NM,5,876,992,"1,050",966,"1,060","23,377"
,,6,622,"1,244",622,"1,244","1,164","1,400,665"
,,7,898,898,898,898,898,"2,395,576"
,,8,998,993,850,879,"1,267","387,231"
,TX,7,999,"1,000",865,"1,091","1,039","101,377"
,,8,887,934,"1,085",883,840,"184,852"
WECC_NNV,NV,4,492,484,485,538,496,"25,763"
,,5,499,434,436,492,520,"1,108,438"
,,6,,539,539,539,539,"1,635,127"
,,7,345,517,450,555,555,"528,861"
WECC_PNW,CA,3,"1,675",,,,,
,,4,"2,919","1,149",,,,
,,5,"2,805","3,172","2,930","3,078","2,919","322,852"
,ID,3,"2,890","3,033","3,009","2,560","3,403","222,311"
,,4,"2,961",421,,,,
,,5,"2,103",,,,,
,OR,3,"2,762","3,075","2,921","2,745","2,831","482,152"
,,4,"2,422","3,562","2,539","2,797","2,634","1,011,238"
,,5,"2,555","3,297","3,135","2,959","3,036","822,108"
,WA,3,"2,519","3,059","2,925","3,330","2,977","534,862"
,,4,"2,116","3,174","2,921","3,725","3,061","970,514"
WECC_SCE,CA,5,921,,,,,
,,6,"2,148","2,148","2,148","2,148","2,148","433,587"
,,7,"2,405","2,405","2,405","2,405","2,405","699,309"
,,8,"2,393","2,491","2,464","2,519","2,333","197,866"
WECC_SNV,NV,7,700,"1,050","1,178",829,852,"219,113"
WECC_UT,UT,3,949,887,858,"1,023","1,237","1,772"
,,4,885,998,985,"1,058","1,048","96,707"
,,5,859,859,859,859,859,"951,059"
,,6,913,913,913,888,"1,332","1,415,533"
,,7,896,958,"1,111",977,867,"158,956"
WECC_WY,NE,5,368,490,605,533,382,"18,063"
,SD,4,496,407,580,399,478,"266,623"
,,5,364,631,316,572,572,"106,342"
,WY,3,354,526,526,465,465,"25,944"
,,4,,611,611,611,611,"1,373,136"
,,5,390,390,390,780,390,"1,711,737"
CN_AB,AB,2,985,"1,008",958,"1,006","1,041","1,591,146"
CN_BC,BC,2,889,"1,107",923,"1,025",898,"234,058"
CN_MB,MB,2,829,"1,168",853,"1,112","1,022","871,470"
CN_NS,NS,2,990,"1,004","1,004",980,983,"2,131"
CN_ON,ON,2,811,811,811,811,"1,621","1,381,515"
,,3,158,,,,,
CN_PQ,PQ,2,558,"1,116","1,116",558,928,"276,922"
CN_SK,SK,2,995,941,949,911,"1,053","2,785,339"
